sql中表名	表说明
d_table_sync_zx	老模式传输总部传输信息
d_vendor_fpjl	采购发票记录
d_vendor_pay	采购付款记录
d_vendor_payables	采购未付款
d_vendor_paymx	采购付款记录明细
d_vendor_paysq	采购付款申请
d_vendor_paysqmx	采购付款申请明细
d_vendor_sfp	采购发票签收记录
d_vendor_sfpmx	采购发票签收记录明细
d_vendor_ysfp	采购未签收发票
d_vendor_zhmx	供应商账户信息
d_vip_czjl	会员储值卡储值记录
d_vip_czk	会员储值卡信息
d_vip_djqlog	代金券日志
d_vip_djqlsz	代金券流水账
d_vip_jf	会员积分记录
d_vip_t	会员待传表
d_xjtz_ls	零售销价调整记录纲要
d_xjtz_lsmx	零售销价调整记录明细
d_xsdxz	销售单修正纲要
d_xsdxzmx	销售单修正明细
d_xsorder	销售订单纲要
d_xsordermx	销售订单明细
d_zkyh	养护记录
d_zkyh_pre	养护计划
ryda	人员档案
ryda_zj	人员证件
s_bll_prndw	打印格式单据设置数据
s_flowset	系统设置及注册信息表
s_gsp_qyzj	供应商和客户证件表
s_lsh	流水号
s_syncparam	同步项目
s_sysfunc	系统功能列表
d_ck_qxsy	器械使用纲要
d_ck_qxsymx	器械使用明细
d_lsqk	零售欠款
d_lszbdjmx	远程单据商品列表
V_Pksp	盘库商品信息
